menus.cleanedNames,count
Cheese Pizza,358
White Pizza,300
Hawaiian Pizza,219
Bbq Chicken Pizza,184
Sicilian Pizza,182
1 Topping Pizza,175
Pizza By the Slice,168
Margherita Pizza,160
Veggie Pizza,158
Buffalo Chicken Pizza,156
Any Large Pizza,138
Meat Lovers Pizza,133
Pizza,127
Pizza Steak,114
Medium Cheese Pizza,108
Pepperoni Pizza,96
Stuffed Pizza,95
Greek Pizza,92
Pizza Sub,87
Medium Gourmet Vegetarian Gluten Free Crust Pizza Baking Required,86
Pesto Pizza,84
Pizza Burger,82
Vegetarian Pizza,82
Taco Pizza,79
Spinach Pizza,79
Grandma Pizza,76
Build Your Own Pizza,74
Supreme Pizza,68
Deluxe Pizza,65
Pizza Bianca,64
Chicken Bacon Ranch Pizza,60
"7"" Pizza",59
Pizza Bread,59
Chicken Pizza,56
Chicken Parmigiana Pizza,56
Lasagna Pizza,55
Salad Pizza,53
Bacon Cheeseburger Pizza,52
Pizza Fries,52
Chicken Alfredo Pizza,51
14ampquot White Pizza,46
Thin Crust Cheese Pizza,44
Pan Pizza,43
Medium Pizza Offers,42
Eggplant Pizza,42
Mexican Pizza,42
Baked Ziti Pizza,41
Primavera Pizza,41
12ampquot GlutenFree Pizza,41
Margarita Pizza,39
Mini Pizza,39
Gluten Free Pizza,39
Deep Dish Pizza,37
Italian Pizza,36
1 Item Pizza,36
Meatball Pizza,36
Vegetable Pizza,35
Grilled Chicken Pizza,35
Mushroom Pizza,35
Specialty Pizza,33
14ampquot Cheese Pizza,33
White Broccoli Pizza,32
New York Style Pizza,32
Broccoli Pizza,32
Pizza Rolls,31
Garlic Pizza,31
Philly Steak Pizza,31
Artichoke Pizza,30
Chicago Pizza,30
Mediterranean Pizza,30
Special Pizza,29
One Large 1 Item Pizza and 24 Wings for,29
Papa39s Favorite Pizza Baking Required,29
Blt Pizza,28
Combo Pizza,28
Kids Pizza,27
Veal Pizzaiola,27
Chicken Wing Pizza,26
Chicken Bacon Stuffed Pizza Baking Required,26
Bbq Pizza,26
Mushroom Pepperoni Sausage Pizza,26
Pizza Mozzarella,26
Caprese Pizza,26
Sausage Pizza,26
Spicy Chicken Pizza,25
Marinara Pizza,25
Philly Cheesesteak Pizza,25
Quattro Formaggi Pizza,22
Gourmet White Pizza,22
Chicken Pizzaiola,22
Napoli Pizza,22
Small Cheese Pizza and 6 Wings,21
Bruschetta Pizza,21
Pizza Bianco,21
Pizza Pie,21
Kid39s Pepperoni Pizza,21
Big Murphy39s Stuffed Pizza Baking Required,21
Personal Pizza,20
Traditional Pizza,20
Vodka Pizza,20
The Works Pizza,20
