menus.cleanedNames,count
Cheese Pizza,948
Buffalo Chicken Pizza,660
Pizza By the Slice,578
Greek Pizza,429
White Pizza,370
Vegetarian Pizza,362
Gluten Free Pizza,283
Hawaiian Pizza,262
Veggie Pizza,240
14ampquot White Pizza,203
Pizza,197
Margherita Pizza,175
Pizza Steak,164
Mexican Pizza,147
Pepperoni Pizza,141
Supreme Pizza,131
Pepperoni Pizza Baking Required,130
Stuffed Pizza,126
Spinach Pizza,116
Chicken Alfredo Pizza,111
Broccoli Pizza,108
Special Pizza,104
Pesto Pizza,102
Pizza Burger,100
Pizza Sub,99
Chicken Wing Pizza,95
Salad Pizza,89
Build Your Own Pizza,89
Grandma Pizza,85
Taco Pizza,83
Bacon Cheeseburger Pizza,76
Thin Crust Cheese Pizza,74
Pizza Bread,72
Breakfast Pizza,71
Pizza Pie,71
Deluxe Pizza,70
Pizza Bianca,69
Pizza Fries,68
Rustica Pizza,59
Pan Pizza,59
New York Style Pizza,58
Lasagna Pizza,56
Mushroom Pizza,56
Baked Ziti Pizza,54
Pizza Fritta,54
Veal Pizzaiola,53
Kids Pizza,49
Deep Dish Pizza,49
Combo Pizza,48
Bbq Pizza,47
Blt Pizza,46
Chicago Pizza,43
The Original BBQ Chicken Pizza and Soup Lunch Duo,43
Pizza Mozzarella,42
Margarita Pizza,42
Napoli Pizza,41
S39mores Pizza,41
Shrimp Pizza,40
Gourmet White Pizza,39
French Bread Pizza,38
Pizza Rolls,38
Pizza Bianco,33
Vodka Pizza,32
Five Cheese Pizza,31
Pizza Pisa,29
Marinara Pizza,27
BYO Pizza Breadstix and Drink,26
Catering Pepperoni Pizza,25
Bruschetta Pizza,25
Chocolate Chip Pizza,24
Quattro Formaggi Pizza,23
Pizza Sandwich,22
Pineapple Pizza,22
Thai Pizza,20
Sheet Pizza,20
The Works Pizza,20
Pizza Stromboli,19
Chicken Teriyaki Pizza,19
Aloha Pizza,18
Pizza Sauce,18
Pita Pizza,17
Tonys Veggie Pizza,16
Russian Pizza,16
Pronto Pizza,16
Green Pizza,16
Chicken Marsala Pizza,15
Whole Wheat Pizza,15
Party Pizza,15
Neapolitan Pizza,15
Burrata Pizza,15
Shrimp Scampi Pizza,14
"Pizza, Pop, Salad, Bread and Butter",14
Pizza Dog,14
Royal Pizza,14
Large Pizza ampamp Wings Deal,13
Arugula Pizza,13
Salmon Pizza,13
Pizza Bento,13
Plue 2 liter Soda with 2ampcomma Pizza,12
Carne Asada Pizza,12
Upside Down Pizza,12
Pizza Constantine,12
Pizza Alla Raffaele,11
Hand Tossed Pizza,11
Large OneTopping Pan Pizza,11
Pizza Genovese,11
Anchovy Pizza,11
Roasted Red Pizza,11
Pizza Logs,11
5 Cheese ampamp Fresh Tomato Pizza,11
5Th Street Pizza,10
Mama's Pizzaz,10
Pizza Caroline,10
Diavola Pizza,10
