menus.cleanedNames,count
Cheese Pizza,314
White Pizza,270
Hawaiian Pizza,199
Bbq Chicken Pizza,178
Margherita Pizza,156
Sicilian Pizza,156
Veggie Pizza,148
Buffalo Chicken Pizza,148
1 Topping Pizza,135
Pizza,119
Pizza By the Slice,112
Pizza Steak,111
Any Large Pizza,102
Meat Lovers Pizza,100
Medium Gourmet Vegetarian Gluten Free Crust Pizza Baking Required,86
Greek Pizza,86
Pesto Pizza,78
Pizza Burger,77
Taco Pizza,77
Pizza Sub,77
Vegetarian Pizza,73
Stuffed Pizza,70
Grandma Pizza,66
Supreme Pizza,65
Pizza Bianca,61
Build Your Own Pizza,60
Spinach Pizza,59
Pizza Bread,56
Deluxe Pizza,56
Lasagna Pizza,55
Chicken Bacon Ranch Pizza,54
Pepperoni Pizza,53
Large Cheese Pizza,52
Pizza Fries,50
Chicken Alfredo Pizza,49
Salad Pizza,44
Chicken Pizza,42
Baked Ziti Pizza,41
Mexican Pizza,41
Medium Pizza Offers,41
Primavera Pizza,41
Slice of Pizza,39
Margarita Pizza,38
Chicken Parmigiana Pizza,38
Gluten Free Pizza,34
Vegetable Pizza,33
1 Item Pizza,33
Bacon Cheeseburger Pizza,32
Mini Pizza,32
14ampquot Cheese Pizza,31
Specialty Pizza,31
Deep Dish Pizza,31
Philly Steak Pizza,31
Mediterranean Pizza,30
Pizza Rolls,29
Grilled Chicken Pizza,29
Papa39s Favorite Pizza Baking Required,29
Italian Pizza,28
Broccoli Pizza,27
Meatball Pizza,27
Veal Pizzaiola,27
Blt Pizza,26
Caprese Pizza,26
Eggplant Pizza,26
Special Pizza,26
Sausage Pizza,26
"14"" Pizza",25
White Broccoli Pizza,24
All Meat Pizza,24
14ampquot White Pizza,23
Chicken Wing Pizza,23
Garlic Pizza,23
Kids Pizza,23
Marinara Pizza,23
Thin Crust Pizza,23
Pan Pizza,22
Classic Cheese Pizza,22
Bbq Pizza,21
Napoli Pizza,21
1 Topping Cheese Pizza,21
Big Murphy39s Stuffed Pizza Baking Required,21
Bruschetta Pizza,21
Mushroom Pizza,20
Mushroom Pepperoni Sausage Pizza,20
Bacon Pizza,20
Pepperoni Pizza Slice,20
Pizza Bianco,20
12ampquot GlutenFree Pizza,20
Personal Pizza,19
Combo Pizza,19
Large 18ampquot Caprese Pizza,19
Small Cheese Pizza and 6 Wings,19
Chicago Pizza,19
The Works Pizza,19
Chicken Pizzaiola,19
"7"" Pizza",18
Chicken Parm Pizza,18
Breakfast Pizza,18
Gourmet White Pizza,18
Pizza Pie,18
HotNReady Large Pizza,18
2 Large Pizzas,18
Thai Pizza,18
Quattro Formaggi Pizza,18
Hawaiian Pizza Baking Required,18
Medium Cheese Pizza,18
Vodka Pizza,18
Philly Cheesesteak Pizza,18
Shrimp Pizza,17
Regular Pizza Slice,17
Plain Pizza,17
Pepperoni Pizza Baking Required,17
New York Style Pizza,17
Pineapple Pizza,17
Thin Crust Cheese Pizza,17
Create Your Own Family Size Pizza Baking Required,16
Stuffed Veggie Pizza,16
Artichoke Pizza,16
Pizza Toppings,16
Chicken Fajita Pizza,16
California Pizza,16
Tuscan Mushroom Pizza,16
Small Cheese Pizza,16
Pizza with Pepperoni and Mushrooms,15
Hawaiian BBQ Chicken Pizza,15
Pita Pizza,15
Authentic Pan Pizza,15
7 Cheese Pizza,15
Fresh Mozzarella Pizza,15
Kid39s Pepperoni Pizza,15
Pizza Sauce,15
One Pizza,15
Four Cheese Pizza,15
Traditional Pizza,15
Florentine Pizza,14
Pizza Sandwich,14
Large 2Topping Pizza and 14 Wings Special,14
Gyro Pizza,14
Pizza Roma,14
Onion Pizza,14
Chicken Marsala Pizza,14
Chicken Caesar Pizza,14
Pan Cheese Pizza,13
Seafood Pizza,13
Wild Mushroom Pizza,13
"12"" Cheese Pizza",13
Nutella Pizza,13
Fresh Tomatoes Pizza,13
"10"" Gluten Free Pizza",13
Sicilian Pizza Square Pie,13
Shrimp Scampi Pizza,12
Garden Pizza,12
2 Medium Cheese Pizzas,12
Thai Chicken Pizza Baking Required,12
Aloha Pizza,12
Mushroom Pepperoni Sausage Pizza and Soup Lunch Duo,12
"18"" Cheese Pizza",12
Eggplant Parmigiana Pizza,12
Spicy Chicken Pizza,12
Dessert Pizza,12
Half and Half Pizza,12
Roasted Artichoke and Spinach Pizza,12
Whole Wheat Pizza,12
Chicken Finger Pizza,12
Gluten Free Cheese Pizza,12
Roasted Garlic Chicken Pizza,12
Penne Alla Vodka Pizza,12
"Individual 6"" Cheese Stuffed Deep Dish Pizza",11
2 Slices Cheese Pizza & Soda,11
Round Cheese Pizza,11
Carne Asada Pizza,11
The Original BBQ Chicken GlutenFree Pizza,11
Spicy Italian Pizza,11
Spinach White Pizza,11
Pasta Pizza,11
Garden Veggie Pizza Baking Required,11
Cowboy Pizza Baking Required,11
California Veggie Pizza,11
One Large 1 Item Pizza and 24 Wings for,11
Cheeseburger Pizza,11
Ricotta Pizza,11
French Bread Pizza,11
Pizza Logs,10
5 Cheese and Fresh Tomato Pizza,10
Catering Small Pizza Combo,10
Margherita GlutenFree Pizza,10
Three Cheese Pizza,10
Pizza Fritta,10
Rustica Pizza,10
Large Pepperoni Pizza,10
Pizza a La Totos No.,10
Pepperoni GlutenFree Pizza,10
B.b.q Chicken Pizza,10
Green Pizza,10
Pizza Mozzarella,10
S39mores Pizza,10
ChicagoStyle Stuffed Pizza Baking Required,10
Kids Size Pizza,9
Calabrese Pizza,9
Pepperoni Pizza Fries,9
Catering Pepperoni Pizza,9
Traditional Cheese Pizza,9
Buffalo Chicken Pizza (Light Up Your Taste Buds!),9
2Nd Pizza of Equal Or Lesser Value,9
Angus Steak and Roasted Garlic Pizza Baking Required,9
XL Pizza 16ampquot,9
16ampquot Buffalo Chicken Pizza,9
Mini Murph Cheese Pizza Baking Required,9
"Small 12"" Pizza & 12 Wings",9
Party Pizza,9
Shaved Mushroom and Spinach Pizza and Soup Lunch Duo,9
1 Pizza Slice & Salad,9
Small Canadian Bacon Pizza,9
Steak Pizzaiola,9
Meatball Parm Pizza,9
Original Ny Cheese Pizza,9
Our Flagship Pizza,9
Clam Pizza,9
Pizza Puff,8
Large OneTopping Pan Pizza,8
10ampquot Pizza,8
Cheese Or Pepperoni Pizza,8
Bbq Pork Pizza,8
Grandma39s Sicilian Pizza,8
5Meat Stuffed Pizza Baking Required,8
Chicken Bacon Stuffed Pizza Baking Required,8
Chocolate Chip Pizza,8
Spicy Fennel Sausage Pizza Baking Required,8
Neapolitan Pizza,8
